ganador,count
Brazil,76
Germany,68
Argentina,47
Italy,45
France,39
England,32
Spain,31
Netherlands,30
Uruguay,25
Belgium,21
Sweden,19
Mexico,17
Portugal,17
Poland,17
Yugoslavia,16
Soviet Union,15
Hungary,15
Switzerland,14
Croatia,13
Austria,12
Chile,11
Czechoslovakia,11
USA,9
Denmark,9
Colombia,9
Romania,8
Japan,7
South Korea,7
Paraguay,7
Costa Rica,6
Nigeria,6
Senegal,5
Ecuador,5
Cameroon,5
Ghana,5
Morocco,5
Peru,5
Turkey,5
Scotland,4
Australia,4
Russia,4
Saudi Arabia,4
Algeria,3
N. Ireland,3
Tunisia,3
Iran,3
Bulgaria,3
Ivory Coast,3
Greece,2
Ukraine,2
Germany DR,2
Serbia,2
Ireland,2
Norway,2
South Africa,2
North Korea,1
Wales,1
Cuba,1
Jamaica,1
Czech Republic,1
Slovenia,1
Slovakia,1
Bosnia Herzegovina,1
